Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,total_pages,total_duration,product_related_ratio,avg_time_per_page,is_special_period
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,OS_1,Browser_1,Region_1,Traffic_1,Returning_Visitor,0,0,1,0.0,1.0,0.0,0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,Feb,OS_2,Browser_2,Region_1,Traffic_2,Returning_Visitor,0,0,2,64.0,1.0,32.0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,OS_4,Browser_1,Region_9,Traffic_3,Returning_Visitor,0,0,1,0.0,1.0,0.0,0
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Feb,OS_3,Browser_2,Region_2,Traffic_4,Returning_Visitor,0,0,2,2.666666667,1.0,1.3333333335,0
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,OS_3,Browser_3,Region_1,Traffic_4,Returning_Visitor,1,0,10,627.5,1.0,62.75,0
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,OS_2,Browser_2,Region_1,Traffic_3,Returning_Visitor,0,0,19,154.2166667,1.0,8.116666668421052,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,OS_2,Browser_4,Region_3,Traffic_3,Returning_Visitor,0,0,1,0.0,1.0,0.0,1
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,Feb,OS_1,Browser_2,Region_1,Traffic_5,Returning_Visitor,1,0,1,0.0,0.0,0.0,0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,Feb,OS_2,Browser_2,Region_2,Traffic_3,Returning_Visitor,0,0,2,37.0,1.0,18.5,1
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,OS_2,Browser_4,Region_1,Traffic_2,Returning_Visitor,0,0,3,738.0,1.0,246.0,1
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,OS_1,Browser_1,Region_3,Traffic_3,Returning_Visitor,0,0,3,395.0,1.0,131.66666666666666,0
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,OS_1,Browser_1,Region_4,Traffic_3,Returning_Visitor,0,0,16,407.75,1.0,25.484375,1
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,OS_1,Browser_1,Region_1,Traffic_3,Returning_Visitor,0,0,7,280.5,1.0,40.07142857142857,0
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Feb,OS_2,Browser_5,Region_1,Traffic_3,Returning_Visitor,0,0,6,98.0,1.0,16.333333333333332,0
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,Feb,OS_3,Browser_2,Region_3,Traffic_3,Returning_Visitor,0,0,2,68.0,1.0,34.0,0
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,Feb,OS_1,Browser_1,Region_9,Traffic_3,Returning_Visitor,0,0,25,1721.285119,0.92,68.85140476,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,OS_1,Browser_1,Region_4,Traffic_3,Returning_Visitor,0,0,1,0.0,1.0,0.0,0
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,Feb,OS_1,Browser_1,Region_1,Traffic_4,Returning_Visitor,1,0,13,334.9666667,1.0,25.76666666923077,0
